Messort	3435152
Temperatur	9541205
Witterung	8557416
Fahrer	8841362
FZG-Bezeichnung	0074342
FZG-Nummer	3776722
KFZ-Kennz	2143816
Aufbauzustand	8467216
Motor	7486849
Fahrwerkvariante	2450217
Beladungsvariante	5649391
Achsabstand	2776450
Antriebskonzept	
Antriebstechnik	
Laenderfahrwerk	
Fahrwerk_Modus	
ESP_Modus	
Lenkungs_Modus	
Fahrniveau_Modus	
Achslast.VA	6146129
Achslast.HA	9831844
Radlast.VL	478.000000000000000
Radlast.VR	460.000000000000000
Radlast.HL	418.000000000000000
Radlast.HR	409.000000000000000
Felge.VA	8876243
Felge.HA	8823457
MOSESKonfiguration.Messdauer	8786177
ManoeverBewertung.GesamtBewertung	8786177
Reifen.Fabrikat.VA	2562831
Reifen.Fabrikat.HA	2562831
Reifen.Dimension.VA	1335550
Reifen.Dimension.HA	7111636
Reifen.Druck.VA	2572661
Reifen.Druck.HA	2572661
Reifen.Dimension.VA_Detail.Art	
Reifen.Dimension.VA_Detail.HerstellerInfo	
Reifen.Dimension.HA_Detail.Art	
Reifen.Dimension.HA_Detail.HerstellerInfo	

Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Längengrad	Breitengrd	GPS-Fahrge
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
2,568072000	0,601835700	108,173123000	0,266110400	0,000897260	0,497410800	0,477575400	1,028456600	-0,569123400	1,586069100	-79,675965000	-0,076295000	0,332646200	0,112909200	108,306933000	1,000062310	0,341951700	0,392763800	7,516445160	53,042905000	108,290910000
2,453632000	0,652190400	107,921366000	0,192868400	0,000512720	-0,071712600	0,324995400	0,994886800	-0,569886300	1,587594900	-79,664979000	-0,085450400	0,262454800	0,021361200	108,344320000	1,000062310	0,266420200	0,315859000	7,516445160	53,042905000	108,290910000
1,858544000	0,580473100	108,081575000	0,532223000	0,001025440	-0,162497700	0,671352000	0,933850800	-0,568360500	1,590646500	-79,653993000	0,021362600	0,234988600	-0,067135200	108,322956000	1,000062310	0,601505400	0,646824300	7,516445160	53,042905000	108,290910000
2,453632000	0,549955100	108,028172000	0,605465000	0,001025440	-0,469946400	0,658382700	0,906384600	-0,569123400	1,593698100	-79,648500000	0,057984200	0,268558400	-0,228870000	108,360343000	1,000062310	0,672917000	0,716862600	7,516445160	53,042905000	108,290910000
2,659624000	0,565214100	107,990027000	0,563961200	0,000897260	-0,344830800	0,251757000	0,946058000	-0,570649200	1,595986800	-79,637514000	-0,051880600	0,283817400	0,209797500	108,344320000	1,000062310	0,634464600	0,679783500	7,516445160	53,042905000	108,290910000
2,316304000	0,577421300	108,272300000	0,329586800	0,001089530	0,128930100	0,650753700	0,820934200	-0,572937900	1,596749700	-79,632021000	-0,146486400	0,289921000	-0,168600900	108,328297000	1,000062310	0,390017200	0,429842900	7,516445160	53,042905000	108,290910000
2,705400000	0,610991100	108,363848000	0,251462000	0,000961350	0,190725000	0,411966000	0,750742800	-0,576752400	1,597512600	-79,626528000	-0,253299400	0,100709400	-0,014495100	108,312274000	1,000062310	0,306245900	0,343325000	7,516445160	53,042905000	108,290910000
2,499408000	0,621672400	108,661379000	-0,004885000	0,001153620	0,421883700	0,387553200	0,695810400	-0,579041100	1,595986800	-79,615542000	-0,271610200	0,018310800	0,333387300	108,296251000	1,000062310	0,046692200	0,079651400	7,516445160	53,042905000	108,290910000
