Messort	3945134
Temperatur	3025757
Witterung	7845176
Fahrer	5757224
FZG-Bezeichnung	0074342
FZG-Nummer	3953570
KFZ-Kennz	5457897
Aufbauzustand	4535381
Motor	6650672
Fahrwerkvariante	6681026
Beladungsvariante	5649391
Achsabstand	2776450
Antriebskonzept	
Antriebstechnik	
Laenderfahrwerk	
Fahrwerk_Modus	
ESP_Modus	
Lenkungs_Modus	
Fahrniveau_Modus	
Achslast.VA	4815471
Achslast.HA	7330724
Radlast.VL	528.999999999999999
Radlast.VR	486.000000000000000
Radlast.HL	451.000000000000000
Radlast.HR	453.000000000000000
Felge.VA	7833771
Felge.HA	7833771
MOSESKonfiguration.Messdauer	8786177
ManoeverBewertung.GesamtBewertung	8786177
Reifen.Fabrikat.VA	4745632
Reifen.Fabrikat.HA	4745632
Reifen.Dimension.VA	2116232
Reifen.Dimension.HA	2116232
Reifen.Druck.VA	7058775
Reifen.Druck.HA	7058775
Reifen.Dimension.VA_Detail.Art	
Reifen.Dimension.VA_Detail.HerstellerInfo	
Reifen.Dimension.HA_Detail.Art	
Reifen.Dimension.HA_Detail.HerstellerInfo	

Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Lichtschra	BLS	DVL	DVR	DHL	DHR	PW	VOLLBRE	GIER_ROH	NMOT	AY_S	T_AUSSEN	V_ANZ	GIC	KD	LWS_SPEED	LWS_ANGLE	Radius	LWS_ANG_H	ESP_AKTIV	BRK_TRQ	AX_S	Längengrad	Breitengrd	LenkgeschM	BRK_STAT
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-2,554260000	-0,917093400	131,000626000	-0,198731400	0,000897260	0,119012400	-0,685847100	-0,344853400	-0,144188100	0,769003200	-0,845922000	-0,079346800	-0,592049200	0,298293900	130,776520000	1,999995340	-0,173035800	-0,186768800	0,000704990	0,000000000	1099,000000000	1099,000000000	1098,000000000	1098,500000000	39,600000000	0,000000000	-0,300000000	2299,000000000	-0,080000000	15,000000000	136,000000000	7,000000000	0,000000000	-20,000000000	-4,000000000	1499,965080000	-3,900000000	0,000000000	0,000000000	0,160000000	1,508061320	41,267373400	-11,780720000	0,000000000
-2,851804000	-1,039165400	131,145577000	-0,447754200	0,001089530	-0,285324600	0,248705400	-0,308231800	-0,146476800	0,763662900	-0,845922000	-0,189211600	-0,634774400	0,624815100	130,749815000	1,999995340	-0,424349700	-0,436709400	0,000769080	0,000000000	1098,000000000	1098,500000000	1098,500000000	1098,500000000	39,600000000	0,000000000	-0,390000000	2299,000000000	-0,080000000	15,000000000	136,000000000	7,000000000	0,000000000	-15,000000000	-4,000000000	1499,965080000	-4,400000000	0,000000000	0,000000000	0,240000000	1,508061320	41,267373400	-17,152240000	0,000000000
-2,966244000	-1,162763300	131,260012000	-0,403809000	0,001345890	-0,316603500	-0,404337000	-0,305180000	-0,148765500	0,757559700	-0,851415000	-0,210574200	-0,588997400	0,082393200	130,776520000	1,999995340	-0,380404100	-0,392763800	0,001153620	0,000000000	1098,000000000	1098,500000000	1098,500000000	1098,500000000	39,600000000	0,000000000	-0,390000000	2298,000000000	-0,080000000	15,000000000	136,000000000	7,000000000	0,000000000	-20,000000000	-4,500000000	1499,965080000	-4,600000000	0,000000000	0,000000000	0,240000000	1,508061320	41,267373400	-23,195200000	0,000000000
-3,057796000	-1,048320800	131,641462000	-0,381836400	0,001089530	0,407388600	-0,160209000	-0,338749800	-0,150291300	0,749930700	-0,856908000	-0,189211600	-0,631722600	-0,056454600	130,749815000	1,999995340	-0,357058000	-0,370791000	0,000384540	0,000000000	1097,500000000	1098,000000000	1099,000000000	1098,000000000	39,600000000	0,000000000	-0,460000000	2298,000000000	-0,080000000	15,000000000	136,000000000	7,000000000	0,000000000	-20,000000000	-4,500000000	1499,965080000	-4,800000000	0,000000000	0,000000000	0,160000000	1,508061320	41,267373400	-26,003040000	0,000000000
-3,355340000	-0,936930100	131,542285000	-0,357422400	0,000769080	0,045774000	-0,232684500	-0,549324000	-0,151054200	0,743064600	-0,862401000	-0,143434600	-0,711069400	0,038907900	130,728451000	1,999995340	-0,315859000	-0,337831800	0,000833170	0,000000000	1097,500000000	1098,000000000	1099,000000000	1098,000000000	39,600000000	0,000000000	-0,460000000	2298,000000000	-0,080000000	15,000000000	136,000000000	7,000000000	0,000000000	-20,000000000	-5,000000000	1499,965080000	-5,100000000	0,000000000	0,000000000	0,160000000	1,508061320	41,267373400	-24,477040000	0,000000000
-3,469780000	-1,048320800	131,282899000	-0,369629400	0,001089530	0,415780500	-0,530215500	-0,497443400	-0,148765500	0,735435600	-0,867894000	-0,082398600	-0,680551400	-0,206745900	130,755156000	1,999995340	-0,332338600	-0,352938100	0,000833170	0,000000000	1099,500000000	1099,000000000	1100,000000000	1100,500000000	39,600000000	0,000000000	-0,570000000	2298,000000000	-0,080000000	15,000000000	136,000000000	7,000000000	0,000000000	-20,000000000	-5,000000000	1499,965080000	-5,300000000	0,000000000	0,000000000	0,160000000	1,508061320	41,267373400	-19,410720000	0,000000000
-4,133532000	-1,164289200	131,404963000	-0,320801400	0,000897260	0,239550600	-0,139610700	-0,564583000	-0,146476800	0,730858200	-0,873387000	0,207522400	-0,631722600	-0,151054200	130,728451000	1,999995340	-0,278779900	-0,300752700	0,000897260	0,000000000	1099,500000000	1099,000000000	1100,000000000	1100,500000000	39,600000000	0,000000000	-0,570000000	2301,000000000	-0,080000000	15,000000000	136,000000000	7,000000000	0,000000000	-25,000000000	-5,500000000	1499,965080000	-5,500000000	0,000000000	0,000000000	0,160000000	1,508061320	41,267373400	-19,899040000	0,000000000
-4,408188000	-1,295516600	131,275270000	-0,201172800	0,001089530	-0,133507500	-0,653042400	-0,650033400	-0,140373600	0,724755000	-0,878880000	0,320439000	-0,592049200	-0,022887000	130,755156000	1,999995340	-0,152436300	-0,178529000	0,000192270	0,000000000	1099,000000000	1098,500000000	1098,500000000	1098,500000000	39,600000000	0,000000000	-0,710000000	2301,000000000	-0,160000000	15,000000000	136,000000000	7,000000000	0,000000000	-20,000000000	-5,500000000	1499,965080000	-5,800000000	0,000000000	0,000000000	0,320000000	1,508061320	41,267373400	-28,200480000	0,000000000
