Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Status_DIS	Status_TRK	GPS_FMS_St	Schwim_MSP	Schwim_MHA	DVL	DVR	DHL	DHR	PW	NMOT	T_AUSSEN	TANK_FS	V_ANZ	GIC	LWS_SPEED	Längengrad	Breitengrd	LenkgeschM	LWS_ANG_H	ESP_AKTIV	BRK_TRQ
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
3,204324000	1,982790000	199,614283000	0,020507400	0,000000000	0,270000000	0,171000000	0,389640000	0,025175700	1,025337600	-86,701512000	0,114600000	-0,687600000	1,716000000	199,899742000	0,999991653	-19248,000000000	0,999991653	-17214,000000000	0,001373300	0,010986400	1684,500000000	1685,500000000	1702,500000000	1703,000000000	54,400000000	3268,000000000	25,000000000	45,000000000	205,900000000	7,000000000	10,000000000	7,512477820	53,069915200	10,804080000	2,800000000	0,000000000	0,000000000
3,364540000	2,071292200	199,972846000	-0,008789400	0,000000000	0,216000000	-0,159000000	-0,011460000	0,026701500	1,022286000	-86,701512000	0,521430000	0,429750000	0,433000000	199,857014000	0,999991653	-19248,000000000	0,999991653	-17214,000000000	-0,008239800	-0,008239800	1687,500000000	1686,000000000	1700,500000000	1700,500000000	54,400000000	3268,000000000	25,000000000	45,000000000	205,900000000	7,000000000	10,000000000	7,512477820	53,069915200	12,513200000	2,900000000	0,000000000	0,000000000
3,478980000	2,205571400	199,934701000	0,047362800	0,000000000	0,137000000	0,198000000	0,378180000	0,032041800	1,023048900	-86,696019000	0,515700000	-0,699060000	0,981000000	199,819627000	0,999991653	-19248,000000000	0,999991653	-17214,000000000	0,028839300	0,038452400	1687,500000000	1686,000000000	1700,500000000	1700,500000000	54,400000000	3265,000000000	25,000000000	45,000000000	205,900000000	7,000000000	15,000000000	7,512477820	53,069915200	16,419760000	3,000000000	0,000000000	0,000000000
3,524756000	2,300177200	200,346667000	-0,011230800	0,000000000	-0,414000000	-0,836000000	0,389640000	0,032041800	1,027626300	-86,690526000	-0,452670000	1,426770000	0,008000000	199,835650000	0,999991653	-19248,000000000	0,999991653	-17214,000000000	-0,030212600	-0,020599500	1686,500000000	1685,500000000	1701,000000000	1702,000000000	54,400000000	3265,000000000	25,000000000	45,000000000	205,900000000	7,000000000	15,000000000	7,512477820	53,069915200	15,626240000	3,200000000	0,000000000	0,000000000
4,325836000	2,365790900	200,422957000	-0,072265800	0,000000000	-0,513000000	1,501000000	0,338070000	0,027464400	1,026863400	-86,690526000	0,177630000	-0,063030000	0,354000000	199,846332000	0,999991653	-19248,000000000	0,999991653	-17214,000000000	-0,089264500	-0,079651400	1686,500000000	1685,500000000	1701,000000000	1702,000000000	54,400000000	3265,000000000	25,000000000	45,000000000	205,900000000	7,000000000	10,000000000	7,512477820	53,069915200	17,213280000	3,400000000	0,000000000	0,000000000
4,005404000	2,429878700	200,453473000	-0,082031400	0,000000000	-0,101000000	-1,071000000	0,309420000	0,028227300	1,036018200	-86,685033000	0,005730000	0,876690000	-0,146000000	199,808945000	0,999991653	-19248,000000000	0,999991653	-13118,000000000	-0,097504300	-0,089264500	1685,500000000	1686,500000000	1700,000000000	1703,000000000	54,400000000	3265,000000000	25,000000000	45,000000000	205,900000000	7,000000000	15,000000000	7,512477820	53,069915200	19,960080000	3,500000000	0,000000000	0,000000000
4,371612000	2,391731200	200,316151000	-0,106445400	0,000000000	0,309000000	0,442000000	0,647490000	0,028227300	1,039832700	-86,679540000	0,613110000	0,681870000	-0,818000000	199,824968000	0,999991653	-19248,000000000	0,999991653	-13118,000000000	-0,138703300	-0,120850400	1685,500000000	1686,500000000	1700,000000000	1703,000000000	54,400000000	3264,000000000	25,000000000	45,000000000	205,900000000	7,000000000	15,000000000	7,512477820	53,069915200	20,997760000	3,700000000	0,000000000	0,000000000
4,074068000	2,429878700	200,529763000	-0,011230800	0,000000000	0,445000000	0,099000000	0,550080000	0,033567600	1,050513300	-86,674047000	0,257850000	0,532890000	0,606000000	199,840991000	0,999991653	-19244,000000000	0,999991653	-13118,000000000	-0,038452400	-0,023346100	1684,500000000	1683,000000000	1700,000000000	1700,500000000	54,400000000	3264,000000000	25,000000000	45,000000000	205,900000000	7,000000000	15,000000000	7,512477820	53,069915200	19,166560000	3,900000000	0,000000000	0,000000000
4,531828000	2,542795300	200,590795000	0,037597200	0,000000000	-0,270000000	-0,106000000	0,418290000	0,038145000	1,062719700	-86,668554000	0,487050000	1,329360000	-0,342000000	199,851673000	0,999991653	-19248,000000000	0,999991653	-13118,000000000	0,016479600	0,027466000	1684,500000000	1683,000000000	1700,000000000	1700,500000000	54,400000000	3266,000000000	25,000000000	45,000000000	205,900000000	7,000000000	15,000000000	7,512477820	53,069915200	11,353440000	4,000000000	0,000000000	0,000000000
4,692044000	2,553476600	200,201716000	0,020507400	0,000000000	0,133000000	0,470000000	0,762090000	0,048062700	1,073400300	-86,663061000	0,504240000	0,681870000	1,289000000	199,862355000	0,999991653	-19248,000000000	0,999991653	-13118,000000000	-0,017852900	0,002746600	1685,500000000	1687,500000000	1701,000000000	1701,000000000	54,400000000	3266,000000000	25,000000000	45,000000000	205,900000000	7,000000000	15,000000000	7,512477820	53,069915200	9,583280000	4,200000000	0,000000000	0,000000000
