Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Status_DIS	Status_TRK	GPS_FMS_St	Schwim_MSP	Schwim_MHA	Lichtschra	Handtaster	BLS	PW	Radius	Längengrad	Breitengrd	Höhe	LenkgeschM	ESP_AKTIV
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-8,470646000	-3,665159000	219,440556000	-0,476073000	0,000769080	0,525000000	-1,462000000	-2,131560000	-0,567597600	-0,054165900	177,830382000	0,229200000	0,183360000	0,078000000	219,244844000	0,999991653	-21296,000000000	0,999991653	-17470,000000000	-0,385897300	-0,436709400	0,000192270	0,000256360	0,000000000	59,600000000	1499,971096000	1,529118740	41,258217400	156,741650000	-5,722500000	0,000000000
-8,653750000	-3,309624300	219,371895000	-0,324706200	0,000000000	0,231000000	-1,814000000	-1,988310000	-0,560731500	-0,058743300	177,808410000	0,435480000	-1,111620000	-0,102000000	219,239503000	0,999991653	-21296,000000000	0,999991653	-17470,000000000	-0,240327500	-0,288393000	-0,000640900	-0,000064090	0,000000000	59,600000000	1499,971096000	1,529118740	41,258217400	156,741650000	-11,445000000	0,000000000
-8,722414000	-3,613278400	219,249831000	-0,197753400	0,000576810	-0,632000000	-1,775000000	-2,675910000	-0,556154100	-0,059506200	177,780945000	0,263580000	-0,882420000	-0,861000000	219,239503000	0,999991653	-21296,000000000	0,999991653	-17470,000000000	-0,083771300	-0,148316400	-0,000576810	-0,000192270	0,000000000	59,600000000	1304,232920000	1,529118740	41,258217400	156,741650000	-12,589500000	0,000000000
-8,882630000	-3,723143200	219,402411000	-0,217284600	0,000128180	0,410000000	-1,503000000	-2,601420000	-0,553865400	-0,061032000	177,758973000	-0,154710000	-0,378180000	0,371000000	219,186093000	0,999991653	-21296,000000000	0,999991653	-17470,000000000	-0,107117400	-0,168915900	-0,000512720	0,000192270	0,000000000	59,600000000	1342,501656000	1,529118740	41,258217400	156,741650000	-11,445000000	0,000000000
-9,157286000	-3,683469800	219,822006000	-0,083007600	-0,000064090	-0,125000000	-1,825000000	-2,435250000	-0,554628300	-0,064846500	177,737001000	-0,360990000	-0,647490000	-1,368000000	219,180752000	0,999991653	-21296,000000000	0,999991653	-17470,000000000	0,020599500	-0,038452400	-0,001153620	0,000128180	0,000000000	59,600000000	1436,868880000	1,529118740	41,258217400	156,741650000	-21,745500000	0,000000000
-9,569270000	-3,454584800	220,394181000	-0,241698600	0,000192270	0,427000000	-0,799000000	-2,727480000	-0,546236400	-0,067135200	177,715029000	1,403850000	-0,395370000	-1,027000000	219,234162000	0,999991653	-21296,000000000	0,999991653	-17470,000000000	-0,126343600	-0,190888700	-0,000769080	-0,000064090	0,000000000	59,600000000	1286,242952000	1,529118740	41,258217400	156,741650000	-34,335000000	0,000000000
-9,409054000	-3,582760400	220,714599000	-0,212401800	-0,000384540	0,968000000	-2,095000000	-2,509740000	-0,540133200	-0,068661000	177,687564000	0,658950000	-0,194820000	-1,033000000	219,282231000	0,999991653	-21296,000000000	0,999991653	-17470,000000000	-0,107117400	-0,166169300	-0,001345890	-0,000128180	0,000000000	59,600000000	1399,881872000	1,529118740	41,258217400	156,741650000	-12,589500000	0,000000000
-9,203062000	-3,816223100	220,722228000	-0,283202400	0,000704990	-1,141000000	-1,849000000	-2,584230000	-0,534792900	-0,069423900	177,665592000	0,607380000	-0,217740000	-0,702000000	219,330300000	0,999991653	-21296,000000000	0,999991653	-17470,000000000	-0,174409100	-0,236207600	-0,000448630	0,000192270	0,000000000	59,600000000	1359,576104000	1,529118740	41,258217400	156,741650000	18,312000000	0,000000000
-9,912590000	-3,477473300	220,638309000	-0,449217600	-0,000064090	0,278000000	-1,487000000	-2,360760000	-0,531741300	-0,071712600	177,638127000	0,893880000	0,011460000	-1,219000000	219,378369000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,350191500	-0,405123500	0,000000000	-0,000128180	0,000000000	59,600000000	1487,703128000	1,529118740	41,258217400	156,741650000	-25,179000000	0,000000000
-9,363278000	-3,784179200	220,661196000	-0,507811200	0,000704990	0,006000000	-1,852000000	-2,274810000	-0,529452600	-0,070949700	177,616155000	0,378180000	0,762090000	-1,116000000	219,421097000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,411990000	-0,465548700	0,000320450	0,000000000	0,000000000	59,600000000	1499,971096000	1,529118740	41,258217400	156,741650000	-8,011500000	0,000000000
-10,027030000	-3,991701600	220,302633000	-0,512694000	0,000192270	-0,342000000	-1,470000000	-2,589960000	-0,528689700	-0,073238400	177,588690000	0,636030000	0,177630000	-0,374000000	219,405074000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,403750200	-0,465548700	-0,001281800	-0,000256360	0,000000000	59,600000000	1353,991432000	1,529118740	41,258217400	156,741650000	-5,722500000	0,000000000
-10,141470000	-3,456110700	219,829635000	-0,576170400	-0,000128180	0,690000000	-0,407000000	-2,887920000	-0,521060700	-0,079341600	177,561225000	0,956910000	-0,464130000	-0,973000000	219,447802000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,454562300	-0,523227300	-0,001153620	0,000064090	0,000000000	59,600000000	1211,673848000	1,529118740	41,258217400	156,741650000	-38,913000000	0,000000000
-10,164358000	-3,392022900	219,677055000	-0,520018200	0,000064090	-1,081000000	-2,750000000	-3,002520000	-0,516483300	-0,082393200	177,539253000	0,658950000	-0,876690000	-1,445000000	219,431779000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,392763800	-0,464175400	-0,001089530	0,000064090	0,000000000	59,600000000	1164,616120000	1,529118740	41,258217400	156,741650000	-6,867000000	0,000000000
-9,798150000	-3,833008000	219,478701000	-0,466307400	0,000448630	-0,298000000	-1,727000000	-2,859270000	-0,514194600	-0,083156100	177,506295000	0,704790000	-0,733440000	-0,242000000	219,421097000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,344698300	-0,413363300	0,000833170	0,000384540	0,000000000	59,600000000	1221,859008000	1,529118740	41,258217400	156,741650000	17,167500000	0,000000000
-10,004142000	-3,816223100	220,050876000	-0,554197800	0,000512720	0,418000000	-1,950000000	-2,572770000	-0,514194600	-0,090785100	177,478830000	0,515700000	-0,527160000	-0,458000000	219,410415000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,444949200	-0,506747700	-0,001281800	-0,000320450	0,000000000	59,600000000	1361,475808000	1,529118740	41,258217400	156,741650000	8,011500000	0,000000000
-9,981254000	-3,675840300	220,363665000	-0,551756400	0,001666340	-0,180000000	-1,856000000	-2,647260000	-0,511905900	-0,097651200	177,451365000	-0,022920000	-0,550080000	-0,742000000	219,399733000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,439456000	-0,502627800	-0,000640900	0,000000000	0,000000000	59,600000000	1325,038112000	1,529118740	41,258217400	156,741650000	-9,156000000	0,000000000
-10,027030000	-3,836059800	221,012130000	-0,539549400	0,000384540	0,987000000	-2,428000000	-2,910840000	-0,512668800	-0,102991500	177,423900000	-0,406830000	-1,306440000	-1,202000000	219,437120000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,417483200	-0,486148200	-0,000192270	0,000000000	0,000000000	59,600000000	1208,606856000	1,529118740	41,258217400	156,741650000	-1,144500000	0,000000000
-9,821038000	-3,810119500	221,401209000	-0,515135400	0,000128180	-1,021000000	-1,629000000	-3,071280000	-0,513431700	-0,109857600	177,390942000	-0,080220000	-0,762090000	-0,153000000	219,527917000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,385897300	-0,458682200	0,000704990	-0,000128180	0,000000000	59,600000000	1147,495896000	1,529118740	41,258217400	156,741650000	8,011500000	0,000000000
-9,843926000	-3,616330200	221,256258000	-0,541990800	0,000384540	0,075000000	-1,860000000	-3,415080000	-0,512668800	-0,120538200	177,363477000	0,406830000	-1,352280000	-0,292000000	219,565304000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,398257000	-0,479281700	-0,000192270	0,000769080	0,000000000	59,600000000	1031,293520000	1,529118740	41,258217400	156,741650000	9,156000000	0,000000000
-10,255910000	-3,683469800	221,096049000	-0,500487000	0,000448630	0,475000000	-2,558000000	-2,589960000	-0,518009100	-0,128167200	177,336012000	-0,464130000	-0,355260000	-0,186000000	219,645419000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,391390500	-0,453189000	0,000064090	-0,000192270	0,000000000	59,600000000	1358,866576000	1,529118740	41,258217400	156,741650000	-21,745500000	0,000000000
-10,141470000	-3,659055400	220,813776000	-0,520018200	0,000769080	-0,028000000	-2,391000000	-3,036900000	-0,525638100	-0,139610700	177,303054000	-1,031400000	-1,409580000	-0,363000000	219,677465000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,392763800	-0,464175400	0,000320450	0,000320450	0,000000000	59,600000000	1157,406400000	1,529118740	41,258217400	156,741650000	-14,878500000	0,000000000
-10,004142000	-3,382867500	220,432326000	-0,515135400	0,000384540	0,728000000	-2,095000000	-3,128580000	-0,526401000	-0,154105800	177,270096000	-0,452670000	-1,375200000	-0,061000000	219,704170000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,383150700	-0,457308900	-0,000320450	-0,000192270	0,000000000	59,600000000	1121,540904000	1,529118740	41,258217400	156,741650000	12,589500000	0,000000000
-10,141470000	-3,398126500	220,020360000	-0,505369800	0,000256360	0,182000000	-2,388000000	-2,738940000	-0,528689700	-0,167838000	177,242631000	-0,097410000	-0,807930000	0,640000000	219,730875000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,390017200	-0,454562300	-0,000320450	0,000512720	0,000000000	59,600000000	1278,689912000	1,529118740	41,258217400	156,741650000	0,000000000	0,000000000
-9,706598000	-3,802490000	219,875409000	-0,456541800	0,000448630	-0,865000000	-2,038000000	-3,266100000	-0,532504200	-0,182333100	177,209673000	-0,189090000	-1,547100000	0,256000000	219,704170000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,318605600	-0,395510400	-0,000128180	0,000256360	0,000000000	59,600000000	1071,599288000	1,529118740	41,258217400	156,741650000	14,878500000	0,000000000
-10,187246000	-3,491206400	219,608394000	-0,505369800	0,000704990	-0,297000000	-2,150000000	-3,289020000	-0,539370300	-0,202168500	177,176715000	-0,360990000	-1,890900000	0,166000000	219,677465000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,366671100	-0,444949200	0,000256360	0,000064090	0,000000000	59,600000000	1062,833184000	1,529118740	41,258217400	156,741650000	-2,289000000	0,000000000
-10,118582000	-3,300468900	219,928812000	-0,515135400	0,000064090	0,196000000	-2,871000000	-3,329130000	-0,546236400	-0,218952300	177,149250000	-0,590190000	-2,452440000	0,604000000	219,650760000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,374910900	-0,453189000	0,000192270	-0,000512720	0,000000000	59,600000000	1051,572288000	1,529118740	41,258217400	156,741650000	-20,601000000	0,000000000
-9,569270000	-3,346245900	220,516245000	-0,541990800	-0,000320450	0,723000000	-3,037000000	-3,151500000	-0,549288000	-0,233447400	177,116292000	-0,183360000	-2,160210000	1,151000000	219,682806000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,409243400	-0,483401600	-0,000512720	0,000128180	0,000000000	59,600000000	1113,804760000	1,529118740	41,258217400	156,741650000	30,901500000	0,000000000
-9,912590000	-3,303520700	220,302633000	-0,490721400	-0,000128180	0,088000000	-2,407000000	-3,197340000	-0,555391200	-0,252519900	177,083334000	-1,082970000	-1,707540000	-0,073000000	219,656101000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,355684700	-0,431216200	0,000384540	0,000256360	0,000000000	59,600000000	1096,776088000	1,529118740	41,258217400	156,741650000	10,300500000	0,000000000
-9,889702000	-3,245536500	220,096650000	-0,544432200	0,000704990	0,084000000	-2,123000000	-2,950950000	-0,556917000	-0,270066600	177,055869000	-0,979830000	-1,833600000	0,190000000	219,688147000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,420229800	-0,490268100	-0,001345890	0,000192270	0,000000000	59,600000000	1187,229464000	1,529118740	41,258217400	156,741650000	-16,023000000	0,000000000
-9,683710000	-3,695677000	220,417068000	-0,505369800	0,000512720	-0,098000000	-2,915000000	-3,071280000	-0,564546000	-0,283035900	177,028404000	-1,209030000	-1,501260000	0,786000000	219,661442000	0,999991653	-21168,000000000	0,999991653	-17470,000000000	-0,376284200	-0,449069100	0,000064090	-0,000192270	0,000000000	59,600000000	1142,391872000	1,529118740	41,258217400	156,741650000	11,445000000	0,000000000
