Messort	3945134
Temperatur	0853738
Witterung	
Fahrer	5757224
FZG-Bezeichnung	0074342
FZG-Nummer	3776722
KFZ-Kennz	1334797
Aufbauzustand	2694508
Motor	7486849
Fahrwerkvariante	2450217
Beladungsvariante	5649391
Achsabstand	2776450
Antriebskonzept	
Antriebstechnik	
Laenderfahrwerk	
Fahrwerk_Modus	
ESP_Modus	
Lenkungs_Modus	
Fahrniveau_Modus	
Achslast.VA	5526889
Achslast.HA	6283825
Radlast.VL	474.000000000000000
Radlast.VR	459.000000000000000
Radlast.HL	426.000000000000000
Radlast.HR	410.000000000000000
Felge.VA	6801655
Felge.HA	8568554
MOSESKonfiguration.Messdauer	8786177
ManoeverBewertung.GesamtBewertung	8786177
Reifen.Fabrikat.VA	7773492
Reifen.Fabrikat.HA	7773492
Reifen.Dimension.VA	6723742
Reifen.Dimension.HA	9533933
Reifen.Druck.VA	2572661
Reifen.Druck.HA	2572661
Reifen.Dimension.VA_Detail.Art	
Reifen.Dimension.VA_Detail.HerstellerInfo	
Reifen.Dimension.HA_Detail.Art	
Reifen.Dimension.HA_Detail.HerstellerInfo	

Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Lichtschra	BLS	DVL	DVR	DHL	DHR	PW	T_AUSSEN	V_ANZ	GIC	LWS_SPEED	LWS_ANGLE	Längengrad	Breitengrd	ESP_AKTIV
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-2,714516000	-1,456671600	79,523169000	0,087890600	0,000897260	0,160209000	-0,264726300	-0,009155400	-0,220478100	0,219715200	-3,652845000	-0,073243200	0,698862200	-0,346356600	79,139732000	0,999986020	0,089264500	0,087891200	0,000448630	0,000000000	663,000000000	665,000000000	676,500000000	678,000000000	21,200000000	12,000000000	82,600000000	7,000000000	-10,000000000	-0,500000000	1,508671680	41,266457800	0,000000000
-1,959212000	-1,507026300	79,530798000	0,239257400	0,000897260	-0,184621800	0,059506200	0,033569800	-0,221241000	0,223529700	-3,652845000	-0,048828800	0,601204600	0,665248800	79,150414000	0,999986020	0,234834300	0,237580900	0,000256360	0,000000000	663,000000000	665,000000000	676,500000000	678,000000000	21,200000000	12,000000000	82,600000000	7,000000000	-10,000000000	-1,000000000	1,508671680	41,266457800	0,000000000
-2,348308000	-1,507026300	79,691007000	0,207519200	0,000512720	-0,131218800	-0,116723700	-0,021362600	-0,222003900	0,222766800	-3,652845000	-0,018310800	0,256351200	0,545473500	79,161096000	0,999986020	0,210114900	0,208741600	0,000512720	0,000000000	664,000000000	664,500000000	679,000000000	676,000000000	21,600000000	12,000000000	82,600000000	7,000000000	-10,000000000	-1,000000000	1,508671680	41,266457800	0,000000000
-2,531412000	-1,549751500	79,408734000	0,185546600	0,000512720	0,016783800	-0,537844500	-0,082398600	-0,225055500	0,218189400	-3,652845000	-0,180056200	-0,045777000	-0,011443500	79,177119000	0,999986020	0,195008600	0,189515400	0,001025440	0,000000000	664,000000000	664,500000000	679,000000000	676,000000000	21,600000000	12,000000000	82,600000000	7,000000000	-15,000000000	-1,500000000	1,508671680	41,266457800	0,000000000
-3,469820000	-1,603158000	79,485024000	0,241698800	0,001345890	0,020598300	0,479864100	0,006103600	-0,231921600	0,215900700	-3,652845000	-0,439459200	-0,329594400	-0,019835400	79,187801000	0,999986020	0,240327500	0,241700800	0,000384540	0,000000000	664,000000000	665,000000000	677,000000000	677,500000000	21,600000000	12,000000000	82,600000000	7,000000000	-15,000000000	-1,500000000	1,508671680	41,266457800	0,000000000
-2,920508000	-1,621468800	79,408734000	0,146484200	0,000769080	0,099177000	0,136559100	-0,021362600	-0,235736100	0,209797500	-3,652845000	-0,405889400	-0,387578600	-0,119775300	79,198483000	0,999986020	0,149689700	0,146943100	0,000320450	0,000000000	664,000000000	665,000000000	677,000000000	677,500000000	21,600000000	12,000000000	82,600000000	7,000000000	-15,000000000	-1,500000000	1,508671680	41,266457800	0,000000000
-3,858916000	-1,685556600	79,439250000	0,258788600	0,000704990	0,153342900	-0,316603500	-0,036621600	-0,237261900	0,199116900	-3,652845000	-0,311283600	-0,726328400	0,164786400	79,203824000	0,999986020	0,263673600	0,260927000	0,001345890	0,000000000	665,500000000	665,000000000	677,500000000	677,000000000	21,600000000	12,000000000	82,600000000	7,000000000	-20,000000000	-2,000000000	1,508671680	41,266457800	0,000000000
-3,652924000	-1,679453000	79,561314000	0,080566400	0,001025440	-0,184621800	0,043485300	-0,097657600	-0,238024800	0,184621800	-3,658338000	-0,274662000	-0,979627800	0,672877800	79,214506000	0,999986020	0,092011100	0,086517900	0,000576810	0,000000000	665,500000000	665,000000000	677,500000000	677,000000000	21,600000000	12,000000000	82,600000000	7,000000000	-20,000000000	-2,000000000	1,508671680	41,266457800	0,000000000
