Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Lichtschra	BLS	DVL	DVR	DHL	DHR	PW	GIER_ROH	NMOT	AY_S	T_AUSSEN	TANK_FS	V_ANZ	GIC	LWS_SPEED	LWS_ANGLE	Radius	ESP_AKTIV	AX_S	GPS-Fahrge
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-6,015380000	-2,714590100	199,271207000	-0,041476400	0,001281800	0,513431700	-1,101627600	-1,379413600	0,068661000	-0,212849100	176,902065000	0,155641800	-1,062026400	0,669826200	199,264163000	1,000062310	0,024719400	-0,010986400	0,001089530	0,000000000	1672,000000000	1669,000000000	1682,000000000	1682,500000000	61,600000000	-1,420000000	3475,000000000	-0,560000000	26,500000000	63,000000000	207,500000000	7,000000000	-15,000000000	-9,500000000	1499,971096000	0,000000000	0,000000000	55,388305000
-6,061156000	-2,876335500	198,843983000	-0,173312000	0,001345890	0,229632900	-1,411365000	-1,385517200	0,071712600	-0,222003900	176,885586000	0,378423200	-1,184098400	-0,013732200	199,253481000	1,000062310	-0,107117400	-0,142823200	0,001345890	0,000000000	1674,000000000	1671,000000000	1682,000000000	1681,500000000	61,600000000	-1,490000000	3475,000000000	-0,560000000	26,500000000	63,000000000	207,500000000	7,000000000	-15,000000000	-9,500000000	1499,971096000	0,000000000	0,000000000	55,388305000
-6,175596000	-2,990778000	199,080482000	-0,151339400	0,001153620	0,275406900	-0,814014300	-1,477071200	0,076290000	-0,233447400	176,869107000	0,442511000	-1,101699800	-0,154105800	199,242799000	1,000062310	-0,079651400	-0,119477100	0,001345890	0,000000000	1674,000000000	1671,000000000	1682,000000000	1681,500000000	61,600000000	-1,490000000	3476,000000000	-0,560000000	26,500000000	63,000000000	207,500000000	7,000000000	-10,000000000	-9,500000000	1499,971096000	0,000000000	0,000000000	55,388305000
-6,106932000	-2,699331100	199,034708000	-0,107394200	0,001089530	-0,711022800	0,344830800	-1,577780600	0,078578700	-0,246416700	176,858121000	0,253299400	-1,120010600	0,070949700	199,285527000	1,000062310	-0,031585900	-0,072784900	0,000961350	0,000000000	1671,000000000	1670,000000000	1680,500000000	1680,500000000	61,600000000	-1,610000000	3476,000000000	-0,720000000	26,500000000	63,000000000	207,500000000	7,000000000	-10,000000000	-9,500000000	1499,971096000	0,000000000	0,000000000	55,388305000
-6,221372000	-2,757315300	199,149143000	-0,241671200	0,000833170	-0,048825600	-0,758322600	-1,586936000	0,081630300	-0,256334400	176,836149000	0,250247600	-1,101699800	0,199116900	199,221435000	1,000062310	-0,164796000	-0,207368300	0,000833170	0,000000000	1671,000000000	1670,000000000	1680,500000000	1680,500000000	61,600000000	-1,610000000	3473,000000000	-0,720000000	26,500000000	63,000000000	207,500000000	7,000000000	-10,000000000	-9,500000000	1499,971096000	0,000000000	0,000000000	55,388305000
-6,381588000	-2,916008900	199,416158000	-0,253878200	0,001217710	0,158683200	-1,563945000	-1,733422400	0,082393200	-0,264726300	176,819670000	0,128175600	-0,903332800	-0,743064600	199,216094000	1,000062310	-0,170289200	-0,215608100	0,000833170	0,000000000	1674,000000000	1669,500000000	1681,500000000	1682,500000000	61,600000000	-1,740000000	3473,000000000	-0,800000000	26,500000000	63,000000000	207,500000000	7,000000000	-10,000000000	-9,500000000	1499,971096000	0,000000000	0,000000000	55,388305000
-6,679132000	-2,957208200	199,324610000	-0,227022800	0,001089530	0,511905900	-1,505201700	-1,824976400	0,084681900	-0,275406900	176,803191000	0,219729600	-0,845348600	0,094599600	199,210753000	1,000062310	-0,138703300	-0,186768800	0,000897260	0,000000000	1674,000000000	1669,500000000	1681,500000000	1682,500000000	61,600000000	-1,740000000	3478,000000000	-0,800000000	26,500000000	63,000000000	207,500000000	7,000000000	-10,000000000	-10,000000000	1499,971096000	0,000000000	0,000000000	55,388305000
-6,541804000	-2,778677900	199,454303000	-0,422334800	0,001089530	-0,195302400	-0,241839300	-1,785303000	0,088496400	-0,285324600	176,781219000	0,143434600	-0,952161600	0,038145000	199,146661000	1,000062310	-0,336458500	-0,383150700	0,001281800	0,000000000	1674,000000000	1672,500000000	1682,500000000	1681,000000000	61,600000000	-1,790000000	3478,000000000	-0,800000000	26,500000000	63,000000000	207,500000000	7,000000000	-10,000000000	-10,000000000	1499,971096000	0,000000000	0,000000000	55,388305000
-6,633356000	-2,967889500	199,721318000	-0,434541800	0,001666340	-0,518009100	-0,156394500	-1,876857000	0,088496400	-0,289139100	176,764740000	0,164797200	-0,704965800	-0,234210300	199,146661000	1,000062310	-0,344698300	-0,392763800	0,001730430	0,000000000	1674,000000000	1672,500000000	1682,500000000	1681,000000000	61,600000000	-1,790000000	3479,000000000	-0,800000000	26,500000000	63,000000000	207,500000000	7,000000000	-10,000000000	-10,000000000	1499,971096000	0,000000000	0,000000000	55,388305000
-6,724908000	-3,118953600	199,477190000	-0,446748800	0,001281800	-0,054165900	-1,711947600	-1,986721800	0,090785100	-0,294479400	176,742768000	0,152590000	-0,531013200	-0,109094700	199,141320000	1,000062310	-0,351564800	-0,402376900	0,001089530	0,000000000	1673,000000000	1668,500000000	1680,000000000	1685,500000000	61,600000000	-1,870000000	3479,000000000	-0,800000000	26,500000000	63,000000000	207,500000000	7,000000000	-10,000000000	-10,000000000	1499,971096000	0,000000000	0,000000000	55,388305000
