Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Status_DIS	Status_TRK	GPS_FMS_St	Schwim_MSP	Schwim_MHA	BLS	DVL	DVR	DHL	DHR	PW	VOLLBRE	GIER_ROH	NMOT	AY_S	T_AUSSEN	TANK_FS	V_ANZ	GIC	KD	LWS_SPEED	LWS_ANGLE	Radius	Längengrad	Breitengrd	Höhe	Fahrg_NULL	ESP_AKTIV	BRK_TRQ	LWS_ANG_H	GIERMOMENT	AX_S	Odo	SupplyVolt	LenkgeschM
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
3,414860000	2,199146200	110,657114000	0,365987800	0,000000000	0,435000000	0,313000000	0,412560000	-0,166312200	0,785024100	175,754028000	-0,051570000	0,532890000	0,133000000	110,560835000	0,999991653	-2736,000000000	0,999991653	-13370,000000000	0,329592000	0,348818200	0,000000000	924,000000000	924,000000000	923,500000000	924,000000000	30,000000000	0,000000000	0,450000000	1930,000000000	0,000000000	23,500000000	66,000000000	112,600000000	7,000000000	0,000000000	10,000000000	2,500000000	1499,965080000	1,530949820	41,258217400	163,058600000	-0,000006912	0,000000000	0,000000000	2,400000000	-22538,000000000	0,000000000	717,173000000	12,700000000	14,710640000
3,689516000	2,258656300	110,634227000	0,412374400	0,000000000	-0,185000000	0,333000000	0,624570000	-0,166312200	0,788075700	175,759521000	0,028650000	0,275040000	0,371000000	110,539471000	0,999991653	-2736,000000000	0,999991653	-13370,000000000	0,357058000	0,385897300	0,000000000	924,000000000	924,000000000	923,500000000	924,000000000	30,000000000	0,000000000	0,450000000	1927,000000000	0,000000000	23,500000000	66,000000000	112,600000000	7,000000000	0,000000000	11,000000000	2,500000000	1499,965080000	1,530949820	41,258217400	163,058600000	-0,000006912	0,000000000	0,000000000	2,600000000	-22538,000000000	0,000000000	717,173000000	12,700000000	21,058800000
3,803956000	2,312062800	110,969903000	0,558858400	0,000000000	-0,361000000	0,148000000	0,360990000	-0,166312200	0,791127300	175,765014000	-0,252120000	0,166170000	0,068000000	110,571517000	0,999991653	-2736,000000000	0,999991653	-13370,000000000	0,527347200	0,543826800	0,000000000	923,500000000	923,500000000	922,000000000	923,000000000	30,000000000	0,000000000	0,500000000	1927,000000000	0,080000000	23,500000000	66,000000000	112,600000000	7,000000000	0,000000000	13,000000000	3,000000000	1499,965080000	1,530949820	41,258217400	163,058600000	-0,000006912	0,000000000	0,000000000	2,800000000	-22538,000000000	0,000000000	717,173000000	12,700000000	22,951040000
3,803956000	2,362417500	110,763920000	0,427022800	0,000000000	-0,362000000	0,221000000	0,733440000	-0,169363800	0,794941800	175,770507000	-0,223470000	0,429750000	-0,314000000	110,598222000	0,999991653	-2736,000000000	0,999991653	-17466,000000000	0,361177900	0,396883700	0,000000000	923,500000000	923,500000000	922,000000000	923,000000000	30,000000000	0,000000000	0,500000000	1929,000000000	0,080000000	23,500000000	66,000000000	112,600000000	7,000000000	0,000000000	13,500000000	3,000000000	1499,965080000	1,530949820	41,258217400	163,058600000	-0,000006912	0,000000000	0,000000000	2,900000000	-22538,000000000	0,000000000	717,173000000	12,700000000	18,678240000
4,032836000	2,368521100	110,733404000	0,365987800	0,000000000	0,252000000	-0,010000000	0,727710000	-0,171652500	0,799519200	175,776000000	0,040110000	0,676140000	0,015000000	110,576858000	0,999991653	-2736,000000000	0,999991653	-17466,000000000	0,300752700	0,335085200	0,000000000	922,000000000	924,000000000	923,000000000	924,500000000	30,000000000	0,000000000	0,540000000	1929,000000000	0,080000000	23,500000000	66,000000000	112,600000000	7,000000000	0,000000000	14,000000000	3,500000000	1499,965080000	1,530949820	41,258217400	163,058600000	-0,000006912	0,000000000	0,000000000	3,100000000	-22538,000000000	0,080000000	717,173000000	12,700000000	14,649600000
4,444820000	2,403616800	110,573195000	0,441671200	0,000000000	0,229000000	0,563000000	0,848040000	-0,173941200	0,804859500	175,786986000	0,137520000	0,624570000	0,312000000	110,603563000	0,999991653	-2736,000000000	0,999991653	-17466,000000000	0,365297800	0,406496800	0,000000000	922,000000000	924,000000000	923,000000000	924,500000000	30,000000000	0,000000000	0,540000000	1929,000000000	0,080000000	23,500000000	66,000000000	112,600000000	7,000000000	0,000000000	14,000000000	3,500000000	1499,965080000	1,530949820	41,258217400	163,058600000	-0,000006912	0,000000000	0,000000000	3,300000000	-22538,000000000	0,080000000	717,173000000	12,700000000	15,382080000
4,605036000	2,489067200	110,222261000	0,448995400	0,000000000	0,188000000	0,232000000	0,945450000	-0,173941200	0,810962700	175,792479000	-0,091680000	0,509970000	0,020000000	110,582199000	0,999991653	-2736,000000000	0,999991653	-17466,000000000	0,363924500	0,409243400	0,000000000	923,500000000	924,000000000	923,500000000	924,500000000	30,000000000	0,000000000	0,550000000	1929,000000000	0,080000000	23,500000000	66,000000000	112,600000000	7,000000000	0,000000000	16,500000000	3,500000000	1499,965080000	1,530949820	41,258217400	163,058600000	-0,000006912	0,000000000	0,000000000	3,500000000	-22538,000000000	-0,080000000	717,173000000	12,700000000	18,617200000
4,467708000	2,527214700	110,115455000	0,353780800	0,000000000	-0,050000000	0,328000000	0,825120000	-0,174704100	0,815540100	175,803465000	0,040110000	0,555810000	0,136000000	110,555494000	0,999991653	-2736,000000000	0,999991653	-17466,000000000	0,280153200	0,318605600	0,000000000	923,500000000	924,000000000	923,500000000	924,500000000	30,000000000	0,000000000	0,550000000	1931,000000000	0,080000000	23,500000000	66,000000000	112,600000000	7,000000000	0,000000000	17,000000000	4,000000000	1499,965080000	1,530949820	41,258217400	163,058600000	-0,000006912	0,000000000	0,000000000	3,700000000	-22538,000000000	-0,080000000	717,173000000	12,700000000	19,410720000
4,811028000	2,528740600	110,039165000	0,180441400	0,000000000	-0,291000000	0,404000000	0,802200000	-0,173941200	0,821643300	175,808958000	0,171900000	0,498510000	0,043000000	110,534130000	0,999991653	-2736,000000000	0,999991653	-17466,000000000	0,108490700	0,146943100	0,000000000	924,000000000	923,000000000	922,000000000	923,000000000	30,000000000	0,000000000	0,620000000	1931,000000000	0,240000000	23,500000000	66,000000000	112,600000000	7,000000000	0,000000000	18,000000000	4,000000000	1499,965080000	1,530949820	41,258217400	163,058600000	-0,000006912	0,000000000	0,000000000	3,800000000	-22538,000000000	-0,080000000	717,173000000	12,700000000	18,434080000
4,948356000	2,540947800	109,939988000	0,302511400	0,000000000	-0,158000000	0,145000000	1,014210000	-0,173941200	0,828509400	175,819944000	0,206280000	0,767820000	-0,164000000	110,512766000	0,999991653	-2736,000000000	0,999991653	-17466,000000000	0,211488200	0,259553700	0,000000000	924,000000000	923,000000000	922,000000000	923,000000000	30,000000000	0,000000000	0,620000000	1932,000000000	0,240000000	23,500000000	66,000000000	112,600000000	7,000000000	0,000000000	18,000000000	4,000000000	1499,965080000	1,530949820	41,258217400	163,058600000	-0,000006912	0,000000000	0,000000000	4,100000000	-22538,000000000	-0,080000000	717,173000000	12,700000000	16,358720000
