Messort	3945134
Temperatur	0853738
Witterung	
Fahrer	5757224
FZG-Bezeichnung	0074342
FZG-Nummer	3776722
KFZ-Kennz	1334797
Aufbauzustand	2694508
Motor	7486849
Fahrwerkvariante	2450217
Beladungsvariante	5649391
Achsabstand	2776450
Antriebskonzept	
Antriebstechnik	
Laenderfahrwerk	
Fahrwerk_Modus	
ESP_Modus	
Lenkungs_Modus	
Fahrniveau_Modus	
Achslast.VA	5526889
Achslast.HA	6283825
Radlast.VL	474.000000000000000
Radlast.VR	459.000000000000000
Radlast.HL	426.000000000000000
Radlast.HR	410.000000000000000
Felge.VA	6801655
Felge.HA	8568554
MOSESKonfiguration.Messdauer	8786177
ManoeverBewertung.GesamtBewertung	8786177
Reifen.Fabrikat.VA	7773492
Reifen.Fabrikat.HA	7773492
Reifen.Dimension.VA	6723742
Reifen.Dimension.HA	9533933
Reifen.Druck.VA	2572661
Reifen.Druck.HA	2572661
Reifen.Dimension.VA_Detail.Art	
Reifen.Dimension.VA_Detail.HerstellerInfo	
Reifen.Dimension.HA_Detail.Art	
Reifen.Dimension.HA_Detail.HerstellerInfo	

Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Lichtschra	BLS	DVL	DVR	DHL	DHR	PW	T_AUSSEN	V_ANZ	GIC	LWS_SPEED	LWS_ANGLE	Längengrad	Breitengrd	ESP_AKTIV
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-2,737404000	-1,642831400	161,199243000	-0,063476200	0,001089530	0,064083600	-0,741538800	-0,222781400	-0,199879800	0,675929400	-1,598463000	-0,033569800	0,857555800	-0,339490500	161,401814000	0,999986020	-0,050812100	-0,057678600	0,000897260	0,000000000	1352,500000000	1352,000000000	1380,000000000	1379,500000000	43,200000000	12,500000000	167,200000000	7,000000000	-15,000000000	-1,000000000	1,511723480	41,268289000	0,000000000
-2,600076000	-1,655038600	161,351823000	0,026855600	0,001089530	-0,846056100	-0,387553200	-0,036621600	-0,199116900	0,678981000	-1,598463000	-0,192263400	0,830089600	-0,826983600	161,375109000	0,999986020	0,028839300	0,027466000	0,000897260	0,000000000	1348,500000000	1352,500000000	1382,000000000	1380,500000000	43,200000000	12,500000000	167,200000000	7,000000000	-10,000000000	-1,000000000	1,511723480	41,268289000	0,000000000
-2,760292000	-1,540596100	161,260275000	0,063476600	0,000512720	0,601165200	1,286249400	-0,201418800	-0,199116900	0,685847100	-1,603956000	0,073243200	0,640878000	0,469183500	161,353745000	0,999986020	0,075531500	0,068665000	0,000256360	0,000000000	1348,500000000	1352,500000000	1382,000000000	1380,500000000	43,200000000	12,500000000	167,200000000	7,000000000	-15,000000000	-1,500000000	1,511723480	41,268289000	0,000000000
-2,737404000	-1,511604000	161,039034000	0,200195000	0,001089530	-0,202168500	-2,110944300	-0,366216000	-0,197591100	0,684321300	-1,609449000	0,183108000	0,149538200	0,008391900	161,337722000	0,999986020	0,222474600	0,210114900	0,000769080	0,000000000	1351,500000000	1351,000000000	1382,000000000	1380,000000000	43,200000000	12,500000000	167,200000000	7,000000000	-15,000000000	-1,500000000	1,511723480	41,268289000	0,000000000
-2,737404000	-1,691660200	160,810164000	0,166015400	0,001025440	-0,223529700	-0,516483300	-0,384526800	-0,200642700	0,685847100	-1,609449000	-0,335698000	0,344853400	-0,170889600	161,316358000	0,999986020	0,188142100	0,175782400	0,000769080	0,000000000	1351,500000000	1351,000000000	1382,000000000	1380,000000000	43,200000000	12,500000000	167,200000000	7,000000000	-15,000000000	-1,500000000	1,511723480	41,268289000	0,000000000
-3,195164000	-1,572640000	161,054292000	0,095214800	0,000769080	0,683558400	1,592935200	-0,286869200	-0,205220100	0,687372900	-1,609449000	-0,125123800	-0,054932400	0,032804700	161,300335000	0,999986020	0,112610600	0,102997500	0,000448630	0,000000000	1349,000000000	1353,500000000	1382,000000000	1379,500000000	43,200000000	12,500000000	167,200000000	7,000000000	-20,000000000	-2,000000000	1,511723480	41,268289000	0,000000000
-3,401156000	-1,722178200	160,939857000	0,056152400	0,000704990	-0,497410800	-1,503675900	-0,341801600	-0,202931400	0,678218100	-1,614942000	0,000000000	-0,546272200	-0,519534900	161,278971000	0,999986020	0,076904800	0,065918400	0,000064090	0,000000000	1349,000000000	1353,500000000	1382,000000000	1379,500000000	43,200000000	12,500000000	166,800000000	7,000000000	-15,000000000	-2,000000000	1,511723480	41,268289000	0,000000000
-3,630036000	-1,780162400	160,916970000	-0,026855200	0,000833170	0,286087500	-0,109857600	-0,299076400	-0,201405600	0,670589100	-1,620435000	-0,244144000	-0,308231800	-0,968120100	161,262948000	0,999986020	-0,009613100	-0,019226200	0,000320450	0,000000000	1351,000000000	1352,500000000	1380,500000000	1378,500000000	43,200000000	12,500000000	166,800000000	7,000000000	-15,000000000	-2,000000000	1,511723480	41,268289000	0,000000000
