Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Längengrad	Breitengrd	GPS-Fahrge
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-5,717384000	-1,687014300	195,815075000	-0,100099600	0,000961350	-0,249468300	-0,788075700	-1,596091400	-0,395182200	1,206144900	-73,370001000	-0,057984200	-1,678490000	0,196828200	84,790510000	1,000062310	-0,164796000	-0,208741600	7,516750340	53,040616000	196,994238000
-6,106480000	-1,651918600	195,700640000	-0,109865200	0,000897260	-0,661434300	-1,545635400	-1,620505800	-0,397470900	1,190124000	-73,380987000	-0,073243200	-1,577780600	0,331098600	90,206284000	1,000062310	-0,175782400	-0,219728000	7,516750340	53,040616000	196,994238000
-5,946264000	-1,586304900	195,799817000	-0,039064600	0,001089530	0,521060700	-0,447822300	-1,593039600	-0,398233800	1,174866000	-73,397466000	0,006103600	-1,684593600	-0,041196600	95,413759000	1,000062310	-0,104370800	-0,146943100	7,516750340	53,040616000	196,994238000
-5,900488000	-1,600038000	196,494056000	-0,046388800	0,000961350	-0,670589100	-1,341178200	-1,693749000	-0,400522500	1,156556400	-73,419438000	0,042725200	-1,654075600	-0,855210900	100,311456000	1,000062310	-0,115357200	-0,160676100	7,516750340	53,040616000	196,994238000
-5,992040000	-1,662599900	196,394879000	-0,126955000	0,001089530	0,123589800	-0,579041100	-1,739526000	-0,397470900	1,138246800	-73,441410000	-0,119020200	-1,776147600	0,322706700	105,022218000	1,000062310	-0,197755200	-0,244447400	7,516750340	53,040616000	196,994238000
-5,900488000	-1,477966000	196,440653000	-0,229493800	0,001089530	-0,102228600	-1,538769300	-1,840235400	-0,398233800	1,125277500	-73,457889000	0,155641800	-1,663231000	-0,379924200	109,455248000	1,000062310	-0,304872600	-0,354311400	7,516750340	53,040616000	196,994238000
-5,854712000	-1,615297000	197,028086000	-0,253907800	0,000833170	0,167838000	-2,162058600	-1,934841200	-0,396708000	1,107730800	-73,479861000	0,167849000	-1,623557600	0,460791600	113,722707000	1,000062310	-0,332338600	-0,384524000	7,516750340	53,040616000	196,994238000
-6,541352000	-1,728213600	196,410137000	-0,141603400	0,000833170	-0,432564300	-0,099177000	-1,925685800	-0,398996700	1,093998600	-73,496340000	0,009155400	-1,617454000	0,002288700	117,728457000	1,000062310	-0,219728000	-0,271913400	7,516750340	53,040616000	196,994238000
-6,175144000	-1,738894900	196,265186000	-0,231935200	0,001025440	-0,321180900	-1,662359100	-1,904323200	-0,398233800	1,081792200	-73,518312000	-0,024414400	-1,647972000	-0,538607400	121,643410000	1,000062310	-0,308992500	-0,361177900	7,516750340	53,040616000	196,994238000
-6,449800000	-1,644289100	195,982913000	-0,222169600	0,000961350	0,363903300	-0,646176300	-1,989773600	-0,397470900	1,074163200	-73,534791000	-0,231936800	-0,964368800	-0,854448000	125,318018000	1,000062310	-0,303499300	-0,357058000	7,516750340	53,040616000	196,994238000
