Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Lichtschra	BLS	DVL	DVR	DHL	DHR	PW	VOLLBRE	GIER_ROH	NMOT	AY_S	T_AUSSEN	TANK_FS	V_ANZ	GIC	LWS_SPEED	Radius	LWS_ANG_H	ESP_AKTIV	BRK_TRQ	AX_S	Längengrad	Breitengrd	LenkgeschM	GPS-Fahrge
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-4,556468000	-1,508986500	79,734416000	-0,094359200	0,000000000	-0,003814500	0,062557800	-0,399785800	-0,055691700	-0,810962700	-96,248346000	0,106813000	-0,857555800	0,399759600	79,123709000	1,000062310	-0,043945600	-0,071411600	0,000833170	0,000000000	667,500000000	667,500000000	667,500000000	667,000000000	24,800000000	0,000000000	-0,640000000	1399,000000000	-0,080000000	16,000000000	60,000000000	81,900000000	7,000000000	-20,000000000	1499,965080000	-7,700000000	0,000000000	0,000000000	0,400000000	7,514308900	53,038327000	-22,340640000	79,433487000
-4,373364000	-1,605118200	79,909883000	-0,201780800	0,000000000	-0,035856300	-0,293716500	-0,442511000	-0,054928800	-0,821643300	-96,253839000	0,064087800	-0,891125600	0,364666200	79,134391000	1,000062310	-0,146943100	-0,175782400	0,000769080	0,000000000	667,500000000	667,500000000	667,500000000	667,000000000	24,800000000	0,000000000	-0,640000000	1398,000000000	-0,080000000	16,000000000	60,000000000	81,900000000	7,000000000	-25,000000000	1499,965080000	-8,000000000	0,000000000	0,000000000	0,400000000	7,514308900	53,038327000	-22,584800000	79,433487000
-4,876900000	-1,675309600	79,902254000	-0,179808200	0,000000000	-0,039670800	-0,006866100	-0,509650600	-0,053403000	-0,832323900	-96,259332000	0,152590000	-0,973524200	0,114435000	79,150414000	1,000062310	-0,116730500	-0,149689700	0,000384540	0,000000000	668,000000000	668,000000000	670,500000000	667,500000000	24,800000000	0,000000000	-0,680000000	1398,000000000	-0,160000000	16,000000000	60,000000000	81,900000000	7,000000000	-20,000000000	1499,965080000	-8,200000000	0,000000000	0,000000000	0,400000000	7,514308900	53,038327000	-21,852320000	79,433487000
-5,037116000	-1,742449200	79,558949000	-0,260374400	0,000000000	0,051114300	-0,096888300	-0,588997400	-0,051877200	-0,843004500	-96,264825000	0,183108000	-1,077285400	0,298293900	79,161096000	1,000062310	-0,186768800	-0,225221200	0,000512720	0,000000000	668,000000000	668,000000000	670,500000000	667,500000000	24,800000000	0,000000000	-0,680000000	1398,000000000	-0,160000000	16,000000000	60,000000000	81,900000000	7,000000000	-20,000000000	1499,965080000	-8,400000000	0,000000000	0,000000000	0,400000000	7,514308900	53,038327000	-21,974400000	79,433487000
-5,151556000	-1,754656400	79,375853000	-0,272581400	0,000000000	-0,238787700	-0,164786400	-0,646981600	-0,050351400	-0,854448000	-96,270318000	0,146486400	-1,065078200	0,370006500	79,171778000	1,000062310	-0,190888700	-0,234834300	0,000640900	0,000000000	667,500000000	667,500000000	667,500000000	667,500000000	24,800000000	0,000000000	-0,830000000	1397,000000000	-0,080000000	16,000000000	60,000000000	81,900000000	7,000000000	-20,000000000	1499,965080000	-8,600000000	0,000000000	0,000000000	0,400000000	7,514308900	53,038327000	-19,593840000	79,433487000
-5,128668000	-1,745501000	79,429256000	-0,328733600	0,000000000	0,009917700	0,009917700	-0,714121200	-0,049588500	-0,865891500	-96,281304000	0,112916600	-1,138321400	0,160209000	79,235870000	1,000062310	-0,238954200	-0,287019700	0,000512720	0,000000000	667,500000000	667,500000000	667,500000000	667,500000000	24,800000000	0,000000000	-0,830000000	1397,000000000	-0,080000000	16,000000000	60,000000000	81,900000000	7,000000000	-20,000000000	1499,965080000	-8,800000000	0,000000000	0,000000000	0,400000000	7,514308900	53,038327000	-17,030160000	79,486897000
-5,494876000	-1,734819700	79,269047000	-0,292112600	0,000000000	-0,121301100	-0,499699500	-0,845348600	-0,050351400	-0,878097900	-96,286797000	0,048828800	-1,199357400	0,221241000	79,246552000	1,000062310	-0,185395500	-0,241700800	0,000769080	0,000000000	668,000000000	666,500000000	668,000000000	668,000000000	24,800000000	0,000000000	-1,000000000	1397,000000000	-0,160000000	16,000000000	60,000000000	81,900000000	7,000000000	-25,000000000	1491,153200000	-9,000000000	0,000000000	0,000000000	0,400000000	7,514308900	53,038327000	-16,114560000	79,486897000
-5,723756000	-1,661576500	78,963887000	-0,187132400	0,000000000	0,059506200	0,003814500	-0,854504000	-0,051114300	-0,889541400	-96,297783000	-0,045777000	-1,235979000	0,145713900	79,251893000	1,000062310	-0,079651400	-0,135956700	0,000769080	0,000000000	668,000000000	666,500000000	668,000000000	668,000000000	24,800000000	0,000000000	-1,000000000	1398,000000000	-0,160000000	16,000000000	60,000000000	81,900000000	7,000000000	-20,000000000	1472,293488000	-9,100000000	0,000000000	0,000000000	0,400000000	7,514308900	53,038327000	-16,297680000	79,486897000
-5,929748000	-1,611221800	78,963887000	-0,096800600	0,000000000	-0,007629000	-0,393656400	-0,903332800	-0,051877200	-0,903273600	-96,308769000	-0,036621600	-1,321429400	-0,156394500	79,310644000	1,000062310	0,017852900	-0,043945600	0,000512720	0,000000000	667,500000000	667,000000000	668,000000000	667,000000000	24,800000000	0,000000000	-1,030000000	1398,000000000	-0,240000000	16,000000000	60,000000000	81,900000000	7,000000000	-20,000000000	1392,505920000	-9,300000000	0,000000000	0,000000000	0,400000000	7,514308900	53,038327000	-17,701600000	79,486897000
-6,158628000	-1,678361400	79,032548000	-0,028441400	0,000000000	0,080104500	-0,198354000	-0,982679600	-0,051877200	-0,917768700	-96,319755000	-0,018310800	-1,321429400	0,187673400	79,315985000	1,000062310	0,096131000	0,030212600	0,000704990	0,000000000	667,500000000	667,000000000	668,000000000	667,000000000	24,800000000	0,000000000	-1,030000000	1399,000000000	-0,240000000	16,000000000	60,000000000	81,900000000	7,000000000	-20,000000000	1280,194504000	-9,500000000	0,000000000	0,000000000	0,400000000	7,514308900	53,038327000	-21,364000000	79,486897000
