Messort	3945134
Temperatur	0853738
Witterung	
Fahrer	5757224
FZG-Bezeichnung	0074342
FZG-Nummer	3776722
KFZ-Kennz	1334797
Aufbauzustand	2694508
Motor	7486849
Fahrwerkvariante	2450217
Beladungsvariante	5649391
Achsabstand	2776450
Antriebskonzept	
Antriebstechnik	
Laenderfahrwerk	
Fahrwerk_Modus	
ESP_Modus	
Lenkungs_Modus	
Fahrniveau_Modus	
Achslast.VA	5526889
Achslast.HA	6283825
Radlast.VL	474.000000000000000
Radlast.VR	459.000000000000000
Radlast.HL	426.000000000000000
Radlast.HR	410.000000000000000
Felge.VA	6801655
Felge.HA	8568554
MOSESKonfiguration.Messdauer	8786177
ManoeverBewertung.GesamtBewertung	8786177
Reifen.Fabrikat.VA	7773492
Reifen.Fabrikat.HA	7773492
Reifen.Dimension.VA	6723742
Reifen.Dimension.HA	9533933
Reifen.Druck.VA	2572661
Reifen.Druck.HA	2572661
Reifen.Dimension.VA_Detail.Art	
Reifen.Dimension.VA_Detail.HerstellerInfo	
Reifen.Dimension.HA_Detail.Art	
Reifen.Dimension.HA_Detail.HerstellerInfo	

Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Lichtschra	BLS	DVL	DVR	DHL	DHR	PW	T_AUSSEN	V_ANZ	GIC	LWS_SPEED	LWS_ANGLE	Längengrad	Breitengrd	ESP_AKTIV
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-2,600076000	-1,661142200	200,427561000	-0,004882600	0,000897260	0,563020200	1,081029300	-0,192263400	-0,215137800	0,099177000	178,148976000	-0,579842000	-1,107803400	1,267939800	201,090785000	0,999986020	0,004119900	-0,001373300	0,000384540	0,000000000	1673,500000000	1674,000000000	1709,000000000	1710,500000000	58,800000000	13,000000000	207,200000000	7,000000000	-10,000000000	-1,000000000	1,530644640	41,259590800	0,000000000
-2,508524000	-1,848827900	200,610657000	-0,075683200	0,000833170	0,772817700	-1,114596900	-0,146486400	-0,217426500	0,085444800	178,143483000	-0,476080800	-1,181046600	1,706607300	201,042716000	0,999986020	-0,068665000	-0,072784900	0,000640900	0,000000000	1671,500000000	1674,000000000	1710,000000000	1711,500000000	59,200000000	13,000000000	207,200000000	7,000000000	-15,000000000	-1,500000000	1,530644640	41,259590800	0,000000000
-2,600076000	-1,705393300	200,397045000	-0,183104800	0,000704990	-0,727043700	0,506565600	-0,305180000	-0,218189400	0,071712600	178,137990000	-0,479132600	-1,297015000	-0,434853000	201,048057000	0,999986020	-0,168915900	-0,177155700	0,000384540	0,000000000	1671,500000000	1674,000000000	1710,000000000	1711,500000000	59,200000000	13,000000000	207,200000000	7,000000000	-15,000000000	-1,500000000	1,530644640	41,259590800	0,000000000
-3,034948000	-1,574165900	200,686947000	-0,095214400	0,000897260	-0,122826900	-0,402048300	-0,296024600	-0,219715200	0,056454600	178,137990000	-0,103761200	-1,452656800	-0,836901300	201,053398000	0,999986020	-0,081024700	-0,089264500	0,000512720	0,000000000	1673,500000000	1673,000000000	1713,000000000	1709,500000000	59,200000000	13,000000000	207,200000000	7,000000000	-15,000000000	-1,500000000	1,530644640	41,259590800	0,000000000
-3,218052000	-1,748118500	200,847156000	-0,180663400	0,001025440	-0,005340300	0,419595000	-0,323490800	-0,220478100	0,041196600	178,132497000	0,131227400	-1,492330200	1,309899300	201,010670000	0,999986020	-0,164796000	-0,173035800	0,000704990	0,000000000	1673,500000000	1673,000000000	1713,000000000	1709,500000000	59,200000000	13,000000000	207,200000000	7,000000000	-15,000000000	-1,500000000	1,530644640	41,259590800	0,000000000
-3,263828000	-1,876294100	201,053139000	-0,122069800	0,000576810	-0,051877200	-0,093073800	-0,448614600	-0,222003900	0,028227300	178,127004000	-0,024414400	-1,464864000	1,475448600	200,967942000	0,999986020	-0,100250900	-0,112610600	0,000769080	0,000000000	1671,500000000	1671,500000000	1712,500000000	1709,500000000	59,200000000	13,000000000	207,200000000	7,000000000	-15,000000000	-2,000000000	1,530644640	41,259590800	0,000000000
-3,492708000	-1,822887600	200,938704000	-0,087890200	0,000704990	0,133507500	-0,036619200	-0,555427600	-0,219715200	0,012206400	178,121511000	0,033569800	-1,422138800	0,152580000	200,978624000	0,999986020	-0,061798500	-0,075531500	-0,000384540	0,000000000	1671,500000000	1671,500000000	1712,500000000	1709,500000000	59,200000000	13,000000000	207,200000000	7,000000000	-15,000000000	-2,000000000	1,530644640	41,259590800	0,000000000
-3,469820000	-1,749644400	200,938704000	-0,053710600	0,001025440	0,162497700	-0,264726300	-0,540168600	-0,217426500	-0,002288700	178,116018000	0,173952600	-1,513692800	-0,472235100	200,935896000	0,999986020	-0,027466000	-0,042572300	-0,000384540	0,000000000	1672,500000000	1674,000000000	1709,500000000	1713,000000000	59,200000000	13,000000000	207,200000000	7,000000000	-15,000000000	-2,000000000	1,530644640	41,259590800	0,000000000
