Messort	3435152
Temperatur	2842512
Witterung	9918665
Fahrer	2184236
FZG-Bezeichnung	0031678
FZG-Nummer	8801103
KFZ-Kennz	2718484
Aufbauzustand	2647410
Motor	6221262
Fahrwerkvariante	2450217
Beladungsvariante	3367486
Achsabstand	5838611
Antriebskonzept	
Antriebstechnik	
Laenderfahrwerk	
Fahrwerk_Modus	
ESP_Modus	
Lenkungs_Modus	
Fahrniveau_Modus	
Achslast.VA	1219664
Achslast.HA	6844281
Radlast.VL	474.000000000000000
Radlast.VR	483.000000000000000
Radlast.HL	586.999999999999999
Radlast.HR	585.999999999999999
Felge.VA	5772481
Felge.HA	5772481
MOSESKonfiguration.Messdauer	8786177
ManoeverBewertung.GesamtBewertung	8786177
Reifen.Fabrikat.VA	0603530
Reifen.Fabrikat.HA	0603530
Reifen.Dimension.VA	5622183
Reifen.Dimension.HA	5622183
Reifen.Druck.VA	1099325
Reifen.Druck.HA	7627971
Reifen.Dimension.VA_Detail.Art	
Reifen.Dimension.VA_Detail.HerstellerInfo	
Reifen.Dimension.HA_Detail.Art	
Reifen.Dimension.HA_Detail.HerstellerInfo	

Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Status_DIS	Status_TRK	GPS_FMS_St	Schwim_MSP	Schwim_MHA	Fahrpedal	Längengrad	Breitengrd	LenkgeschM	StWhl_Angl	StWhl_AnglSpd	VehSpd_Disp	Odo	AirTemp_Outsd_Disp	BrkPdl_Stat	Brk_Stat	BrkTrq_V2	BrkIntrvntn_Actv_ESP	ESP_CtrlLmp_Info	VehAccel_X_V2	VehAccel_X_Offset	VehAccel_Y_V2	VehAccel_Y_Offset	VehYawRate_Raw	VehYawRateOffset_V2	WhlRPM_FL	WhlRPM_FR	WhlRPM_RL	WhlRPM_RR	AccelPdlPosn_Raw	AccelPdlPosn	EngRPM	TankLvl	TankLvl_Disp_V2	StW_Trq_EPS	EPS_FtWhlAngl	EPS_FtWhlAngl_Offset	PN14_SupBat_Volt	PN14_SupBat_Curr
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
2,554268000	2,002289500	180,427384000	-0,005370800	0,000000000	0,459000000	-0,106000000	0,481320000	-0,844530300	1,386952200	-86,520243000	-0,315150000	-0,028650000	0,286000000	179,972471000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	-0,028839300	-0,016479600	32,799431400	7,503017240	53,051145400	13,978160000	0,299952000	10,998160000	172,698315000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,119932800	-0,020000000	0,319960100	0,059990320	0,370000000	-0,099977380	1421,397540000	1420,897620000	1425,396900000	1422,897300000	32,800746400	35,200987100	2966,893930000	96,001998500	63,599346800	1,889772000	-0,029998000	0,149983340	14,300889600	1,901137900
2,851812000	2,102998900	180,663883000	0,077636800	0,000000000	0,452000000	-0,216000000	0,515700000	-0,849107700	1,388478000	-86,514750000	-0,452670000	0,212010000	-0,280000000	179,972471000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,052185400	0,065918400	32,399729500	7,503017240	53,051145400	12,818400000	0,399940000	10,998160000	172,698315000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,079952000	-0,020000000	0,220155300	0,059990320	0,370000000	-0,099977380	1418,398020000	1419,897780000	1423,397220000	1424,896980000	32,400960600	34,801201300	2971,893330000	96,001998500	63,599346800	1,889772000	-0,029998000	0,149983340	14,300889600	1,901137900
2,851812000	2,180819800	180,579964000	0,250976200	0,000000000	-0,060000000	0,494000000	0,492780000	-0,854448000	1,390003800	-86,509257000	-0,040110000	0,022920000	-0,294000000	180,025881000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,226594500	0,240327500	32,399729500	7,503017240	53,051145400	14,100240000	0,599916000	11,998000000	172,698315000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	-0,000009600	-0,020000000	0,240116260	0,059990320	0,350000000	-0,099977380	1418,398020000	1419,897780000	1423,397220000	1424,896980000	32,400960600	34,801201300	2966,893930000	96,001998500	63,599346800	1,929767200	-0,019998800	0,149983340	14,300889600	1,901137900
2,989140000	2,272373800	180,473158000	0,214355200	0,000000000	-0,112000000	0,291000000	0,538620000	-0,859788300	1,393055400	-86,503764000	-0,275040000	-0,183360000	0,605000000	180,025881000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,188142100	0,201875100	32,000027600	7,503017240	53,051145400	14,771680000	0,899880000	12,997840000	172,698315000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,079952000	-0,020000000	0,299999140	0,059990320	0,330000000	-0,099977380	1420,897620000	1421,897460000	1425,896820000	1421,897460000	32,001174800	34,399889600	2970,893450000	96,001998500	63,599346800	1,929767200	-0,019998800	0,149983340	14,300889600	1,901137900
3,218020000	2,287632800	180,244288000	0,226562200	0,000000000	0,391000000	-0,441000000	0,607380000	-0,864365700	1,396869900	-86,498271000	-0,618840000	0,475590000	0,030000000	180,020540000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,196381900	0,212861500	32,000027600	7,503017240	53,051145400	15,260000000	1,099856000	13,997680000	172,698315000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,199894400	-0,020000000	0,459998710	0,059990320	0,410000000	-0,099977380	1420,897620000	1421,897460000	1425,896820000	1421,897460000	32,001174800	34,399889600	2968,893690000	96,001998500	63,599346800	2,119744400	-0,009999600	0,149983340	14,300889600	1,901137900
3,401124000	2,331883900	180,450271000	0,187499800	0,000000000	0,268000000	0,161000000	0,584460000	-0,870468900	1,402210200	-86,492778000	-0,263580000	0,555810000	0,118000000	180,020540000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,159302800	0,174409100	31,600325700	7,503017240	53,051145400	15,076880000	1,099856000	13,997680000	172,698315000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,099942400	-0,020000000	0,299999140	0,059990320	0,450000000	-0,099977380	1417,898100000	1419,397860000	1422,897300000	1424,397060000	31,599863100	34,399889600	2966,893930000	96,001998500	63,599346800	2,119744400	-0,009999600	0,149983340	14,300889600	1,901137900
3,515564000	2,432593300	180,915640000	0,314452600	0,000000000	0,193000000	0,369000000	0,641760000	-0,875046300	1,411365000	-86,487285000	-0,406830000	0,922530000	0,309000000	180,073950000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,282899800	0,299379400	31,600325700	7,503017240	53,051145400	15,321040000	1,399820000	13,997680000	172,698315000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,119932800	-0,020000000	0,380154870	0,059990320	0,530000000	-0,099977380	1417,898100000	1419,397860000	1422,897300000	1424,397060000	31,599863100	34,399889600	2961,894530000	96,001998500	63,599346800	2,249728800	0,004999200	0,149983340	14,300889600	1,901137900
3,607116000	2,487525700	180,755431000	0,155761600	0,000000000	0,013000000	0,093000000	0,676140000	-0,879623700	1,415942400	-86,476299000	-0,595920000	0,355260000	-0,140000000	180,068609000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,122223700	0,140076600	31,600325700	7,503017240	53,051145400	15,748320000	1,499808000	13,997680000	172,698315000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,099942400	-0,020000000	0,280038180	0,059990320	0,550000000	-0,099977380	1420,897620000	1422,397380000	1424,896980000	1420,897620000	31,599863100	34,399889600	2965,894050000	96,001998500	63,599346800	2,249728800	0,004999200	0,149983340	14,300889600	1,901137900
3,698668000	2,466163100	180,846979000	0,175292800	0,000000000	0,226000000	-0,034000000	0,762090000	-0,884964000	1,423571400	-86,470806000	-0,349530000	0,785010000	0,061000000	180,116678000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,137330000	0,157929500	31,600325700	7,503017240	53,051145400	14,527520000	1,599796000	13,997680000	172,804514000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,199894400	-0,020000000	0,380154870	0,059990320	0,570000000	-0,099977380	1420,897620000	1422,397380000	1424,896980000	1420,897620000	31,599863100	34,399889600	2965,894050000	96,001998500	63,599346800	2,359715600	0,024997600	0,149983340	14,300889600	1,901137900
3,927548000	2,511940100	180,938527000	0,133789000	0,000000000	-0,025000000	0,636000000	0,699060000	-0,891067200	1,432726200	-86,465313000	-0,693330000	0,974100000	0,507000000	180,164747000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,098877600	0,118103800	31,600325700	7,503017240	53,051145400	12,879440000	1,799772000	14,997520000	172,804514000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,139923200	-0,020000000	0,359882020	0,059990320	0,650000000	-0,099977380	1419,397860000	1419,897780000	1422,897300000	1423,897140000	31,599863100	34,399889600	2970,893450000	96,001998500	63,599346800	2,359715600	0,024997600	0,149983340	14,300889600	1,901137900
3,904660000	2,571450200	180,808834000	0,309569800	0,000000000	0,063000000	0,339000000	0,842310000	-0,896407500	1,441881000	-86,459820000	-0,630300000	1,140270000	-0,320000000	180,154065000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,267793500	0,289766300	31,600325700	7,503017240	53,051145400	11,231360000	1,899760000	14,997520000	172,804514000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,039971200	-0,020000000	0,420076790	0,059990320	0,690000000	-0,099977380	1419,397860000	1419,897780000	1422,897300000	1423,897140000	31,599863100	34,399889600	2967,893810000	96,001998500	63,599346800	2,479701200	0,034996800	0,149983340	14,300889600	1,901137900
4,110652000	2,605020000	180,717286000	0,280273000	0,000000000	0,300000000	-0,149000000	0,888150000	-0,902510700	1,451798700	-86,448834000	-0,481320000	0,521430000	0,275000000	180,196793000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,236207600	0,259553700	31,600325700	7,503017240	53,051145400	10,926160000	1,999748000	13,997680000	172,804514000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,019980800	-0,020000000	0,380154870	0,059990320	0,670000000	-0,099977380	1420,897620000	1422,397380000	1424,397060000	1423,397220000	31,599863100	34,399889600	2972,893210000	96,001998500	63,599346800	2,479701200	0,034996800	0,149983340	14,300889600	1,901137900
4,064876000	2,598916400	180,335836000	0,233886400	0,000000000	0,364000000	-0,008000000	1,054320000	-0,907851000	1,460190600	-86,437848000	-0,395370000	0,630300000	0,375000000	180,191452000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,181275600	0,210114900	31,600325700	7,503017240	53,051145400	10,682000000	2,099736000	12,997840000	172,804514000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,199894400	-0,020000000	0,499920630	0,059990320	0,730000000	-0,099977380	1420,897620000	1422,397380000	1424,397060000	1423,397220000	31,599863100	34,399889600	2969,893570000	96,001998500	63,599346800	2,499698800	0,049995600	0,149983340	14,300889600	1,398512000
4,247980000	2,719462500	180,190885000	0,216796600	0,000000000	-0,023000000	1,167000000	0,951180000	-0,913191300	1,470108300	-86,432355000	-0,240660000	1,054320000	-0,084000000	180,180770000	0,999991653	-19248,000000000	0,999991653	-17466,000000000	0,170289200	0,195008600	31,600325700	7,503017240	53,051145400	9,156000000	2,199724000	12,997840000	172,804514000	13992,503000000	16,999346800	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,119932800	-0,020000000	0,499920630	0,059990320	0,850000000	-0,099977380	1419,897780000	1419,897780000	1422,897300000	1425,396900000	31,599863100	34,399889600	2971,893330000	96,001998500	63,599346800	2,499698800	0,049995600	0,149983340	14,300889600	1,398512000
