Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Lichtschra	Handtaster	Radius	Längengrad	Breitengrd	Höhe	Trackwinkl	GPS-Fahrge
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-3,355256000	-2,053169700	30,424452000	-0,486794400	0,001538160	-0,058743300	0,086207700	-0,195315200	-0,116723700	0,199879800	-98,610336000	-0,143434600	-0,521857800	-0,157920300	30,445835000	1,000062310	-0,425723000	-0,458682200	0,000512720	0,000833170	1499,971096000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-4,408104000	-2,024177600	30,409194000	-0,486794400	0,001217710	0,074764200	0,042722400	-0,228885000	-0,117486600	0,192250800	-98,615829000	-0,119020200	-0,643929800	-0,166312200	30,461858000	1,000062310	-0,414736600	-0,454562300	0,001025440	0,000448630	1499,971096000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-4,247888000	-2,054695600	30,317646000	-0,921363600	0,001794520	-0,202931400	0,113672100	-0,244144000	-0,119012400	0,183858900	-98,615829000	-0,106813000	-0,753794600	0,020598300	30,419130000	1,000062310	-0,844579500	-0,887151800	-0,000064090	0,001089530	1499,971096000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-4,522544000	-2,047066100	30,866934000	-0,794410800	0,001602250	0,011443500	-0,037382100	-0,268558400	-0,119775300	0,176229900	-98,621322000	-0,125123800	-0,796519800	0,019072500	30,435153000	1,000062310	-0,711369400	-0,756688300	0,001281800	0,000576810	1499,971096000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-5,529616000	-2,243907200	30,203211000	-1,048316400	0,001666340	0,019835400	0,143425200	-0,277713800	-0,121301100	0,170126700	-98,621322000	-0,137331000	-0,738535600	0,072475500	30,392425000	1,000062310	-0,959936700	-1,008002200	0,000961350	0,003140410	1499,971096000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-4,797200000	-2,204233800	30,897450000	-0,650368200	0,001474070	0,102991500	-0,020598300	-0,283817400	-0,122826900	0,164786400	-98,626815000	-0,140382800	-0,622567200	-0,096125400	30,408448000	1,000062310	-0,563053000	-0,611118500	0,000704990	0,000320450	1499,971096000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-6,468024000	-2,237803600	30,485484000	-0,899391000	0,003204500	-0,088496400	-0,040433700	-0,305180000	-0,124352700	0,160209000	-98,626815000	-0,119020200	-0,524909600	-0,225055500	30,424471000	1,000062310	-0,803380500	-0,855565900	-0,000064090	0,000769080	1499,971096000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-5,071856000	-2,124887000	30,516000000	-0,738258600	0,001409980	-0,118249500	-0,208271700	-0,329594400	-0,125115600	0,156394500	-98,632308000	-0,103761200	-0,402837600	0,058743300	30,387084000	1,000062310	-0,635837900	-0,692143200	0,001409980	0,000064090	1477,723960000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-4,659872000	-2,144723700	30,775386000	-0,591774600	0,001409980	-0,127404300	-0,160209000	-0,375371400	-0,125878500	0,152580000	-98,637801000	-0,085450400	-0,378423200	0,043485300	30,397766000	1,000062310	-0,475161800	-0,538333600	0,000897260	0,000512720	1302,012784000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-6,674016000	-2,202707900	30,111663000	-0,525856800	0,000769080	0,059506200	-0,088496400	-0,415044800	-0,126641400	0,148765500	-98,643294000	-0,103761200	-0,375371400	0,111383400	30,413789000	1,000062310	-0,394137100	-0,466922000	0,001281800	0,001153620	1153,057680000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-5,735608000	-2,213389200	30,302388000	-0,762672600	0,001922700	0,058743300	-0,027464400	-0,445562800	-0,126641400	0,145713900	-98,643294000	-0,094605800	-0,375371400	-0,075527100	30,429812000	1,000062310	-0,622104900	-0,699009700	0,000128180	0,001281800	1084,782776000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-6,239144000	-2,222544600	30,294759000	-0,574684800	0,001538160	0,018309600	-0,212849100	-0,454718200	-0,125878500	0,141899400	-98,648787000	0,021362600	-0,363164200	-0,058743300	30,387084000	1,000062310	-0,431216200	-0,509494300	-0,000576810	0,001089530	1062,741632000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-5,438064000	-2,120309300	30,630435000	-0,679665000	0,001089530	-0,128167200	-0,090022200	-0,463873600	-0,125115600	0,138084900	-98,654280000	0,061036000	-0,363164200	0,126641400	30,403107000	1,000062310	-0,535587000	-0,613865100	0,001666340	0,000833170	1051,412072000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-5,575392000	-2,130990600	30,523629000	-0,284158200	0,001345890	0,086970600	-0,157157400	-0,476080800	-0,124352700	0,133507500	-98,659773000	0,085450400	-0,399785800	0,054165900	30,419130000	1,000062310	-0,134583400	-0,216981400	0,001217710	0,000192270	1018,132920000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-8,253288000	-2,225596400	29,913309000	-0,257302800	0,001602250	-0,131218800	-0,101465700	-0,476080800	-0,123589800	0,128930100	-98,665266000	0,100709400	-0,421148400	0,141136500	30,381743000	1,000062310	-0,105744100	-0,188142100	-0,000384540	0,002114970	1002,248648000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-7,040224000	-2,166086300	30,714354000	0,084493200	0,000769080	0,053403000	-0,274644000	-0,531013200	-0,120538200	0,123589800	-98,670759000	0,192263400	-0,466925400	0,099939900	30,392425000	1,000062310	0,249940600	0,159302800	0,000897260	0,000576810	922,644184000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-7,864192000	-2,211863300	30,363420000	0,577656000	0,001409980	-0,159446100	-0,255571500	-0,573738400	-0,118249500	0,119012400	-98,676252000	0,244144000	-0,460821800	-0,115960800	30,355038000	1,000062310	0,758061600	0,659184000	0,001538160	0,001025440	844,596104000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-6,445136000	-2,213389200	30,561774000	0,487324200	0,000833170	-0,128930100	-0,205220100	-0,595101000	-0,115960800	0,115960800	-98,681745000	0,247195800	-0,439459200	0,123589800	30,371061000	1,000062310	0,674290300	0,571292800	0,001858610	0,001217710	815,688560000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-8,665272000	-2,445326000	30,226098000	0,431172000	0,001474070	0,121301100	-0,183858900	-0,640878000	-0,113672100	0,112909200	-98,692731000	0,213626000	-0,341801600	-0,058743300	30,387084000	1,000062310	0,634464600	0,523227300	0,000384540	0,001409980	749,473576000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-7,795528000	-2,332409400	30,622806000	0,648456600	0,001474070	-0,193013700	-0,164023500	-0,695810400	-0,112146300	0,111383400	-98,698224000	0,228885000	-0,274662000	0,090022200	30,355038000	1,000062310	0,866552300	0,747075200	0,000640900	0,000128180	699,692176000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-9,695232000	-2,407178500	30,416823000	0,611835600	0,003717220	0,112146300	-0,228107100	-0,762950000	-0,109857600	0,110620500	-98,709210000	0,210574200	-0,180056200	-0,025938600	30,371061000	1,000062310	0,851446000	0,719609200	0,000000000	0,000704990	634,575816000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-10,427648000	-2,517043300	30,119292000	0,323750400	0,001602250	-0,183096000	-0,184621800	-0,842296800	-0,107568900	0,109857600	-98,714703000	0,216677800	-0,122072000	0,164786400	30,333674000	1,000062310	0,590519000	0,444949200	0,000640900	0,001345890	569,825664000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-9,855448000	-2,407178500	30,462597000	0,011251200	0,001089530	0,046536900	-0,263963400	-0,885022000	-0,103754400	0,108331800	-98,725689000	0,274662000	-0,146486400	0,000000000	30,349697000	1,000062310	0,289766300	0,137330000	0,000704990	0,001153620	547,555640000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-10,336096000	-2,372082800	30,577032000	0,326191800	0,001345890	-0,035856300	-0,250231200	-0,894177400	-0,101465700	0,106043100	-98,736675000	0,317387200	-0,213626000	-0,057217500	30,365720000	1,000062310	0,605625300	0,451815700	0,000704990	0,001666340	544,831968000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-8,985704000	-2,269847500	30,775386000	0,621601200	0,001153620	0,003814500	-0,196065300	-0,967420600	-0,097651200	0,102228600	-98,747661000	0,302128200	-0,268558400	0,122826900	30,333674000	1,000062310	0,922857600	0,758061600	0,001089530	0,000576810	505,647712000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
-10,656528000	-2,338513000	30,523629000	0,404316600	0,001666340	-0,161734800	-0,119012400	-1,058974600	-0,093836700	0,099177000	-98,758647000	0,338749800	-0,302128200	-0,190725000	30,349697000	1,000062310	0,736088800	0,553439900	-0,000064090	0,001409980	459,276624000	7,514308900	53,037869200	1,948910000	179,989131000	8,344777000
