Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Status_DIS	Status_TRK	GPS_FMS_St	Schwim_MSP	Schwim_MHA	Asphalt_Temp	Lenkgeschw	Odo	Stat_MSW	Längengrad	Breitengrd	LWS_SPEED	BLS	ESP_AKTIV	BRK_TRQ	LWS_ANG_H	GIC	PW	NMOT	V_ANZ	T_AUSSEN	DVL	DVR	DHL	DHR	AX_S	AY_S	TANK_FS	SupplyVolt	Asphalt_Temp01	Asphalt_Temp03	Asphalt_Temp05	Asphalt_Temp07	LenkgeschM
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
3,684968000	1,960000000	91,764000000	-0,198000000	0,000000000	-0,076000000	0,155000000	0,126060000	0,429512700	0,746116200	-10,299375000	-0,338070000	-0,435480000	0,411000000	91,338576000	0,999991653	-2864,000000000	0,999991653	-17218,000000000	-0,211488200	-0,203248400	33,700336200	15,014856000	14801,230000000	2,000000000	1,510807940	41,267373400	12,500000000	0,000000000	0,000000000	0,000000000	1,200000000	7,000000000	33,600000000	1711,000000000	93,600000000	23,500000000	764,500000000	765,000000000	766,500000000	765,500000000	0,000000000	-0,640000000	66,000000000	12,600000000	35,600000000	33,600000000	32,500000000	33,100000000	14,588560000
3,845184000	1,990000000	91,872000000	-0,050000000	0,000000000	-0,360000000	0,411000000	-0,022920000	0,424935300	0,740775900	-10,299375000	-0,544350000	-0,727710000	0,051000000	91,375963000	0,999991653	-2864,000000000	0,999991653	-17218,000000000	-0,048065500	-0,049438800	33,675921800	16,845936000	14801,230000000	2,000000000	1,510807940	41,267373400	13,500000000	0,000000000	0,000000000	0,000000000	1,400000000	7,000000000	33,600000000	1711,000000000	93,600000000	23,500000000	764,000000000	765,500000000	765,500000000	765,500000000	0,000000000	-0,560000000	66,000000000	12,600000000	35,000000000	33,400000000	32,700000000	33,600000000	15,137920000
4,005400000	2,120000000	91,872000000	-0,178000000	0,000000000	-0,068000000	-0,209000000	0,303690000	0,419595000	0,735435600	-10,299375000	-0,550080000	-0,315150000	-0,105000000	91,413350000	0,999991653	-2864,000000000	0,999991653	-17218,000000000	-0,208741600	-0,192262000	33,675921800	16,876454000	14801,230000000	2,000000000	1,510807940	41,267373400	14,000000000	0,000000000	0,000000000	0,000000000	1,500000000	7,000000000	33,600000000	1711,000000000	93,600000000	23,500000000	764,000000000	765,500000000	765,500000000	765,500000000	0,000000000	-0,560000000	66,000000000	12,600000000	35,000000000	33,400000000	32,700000000	33,600000000	15,565200000
4,142728000	2,170000000	91,764000000	-0,048000000	0,000000000	0,432000000	0,039000000	0,338070000	0,413491800	0,732384000	-10,299375000	-0,481320000	-0,292230000	-0,404000000	91,450737000	0,999991653	-2864,000000000	0,999991653	-17218,000000000	-0,082398000	-0,063171800	33,675921800	13,122740000	14801,230000000	2,000000000	1,510807940	41,267373400	14,000000000	0,000000000	0,000000000	0,000000000	1,700000000	7,000000000	33,600000000	1711,000000000	93,600000000	23,500000000	765,000000000	765,500000000	764,500000000	765,000000000	0,000000000	-0,560000000	66,000000000	12,600000000	35,000000000	33,400000000	32,700000000	33,600000000	15,687280000
4,280056000	2,220000000	91,476000000	-0,042000000	0,000000000	0,331000000	0,098000000	0,418290000	0,408914400	0,730095300	-10,293882000	-0,303690000	-0,246390000	0,039000000	91,429373000	0,999991653	-2864,000000000	0,999991653	-17218,000000000	-0,085144600	-0,060425200	33,675921800	14,984338000	14801,230000000	2,000000000	1,510807940	41,267373400	14,000000000	0,000000000	0,000000000	0,000000000	1,800000000	7,000000000	33,200000000	1712,000000000	93,600000000	23,500000000	765,000000000	765,500000000	764,500000000	765,000000000	0,000000000	-0,560000000	66,000000000	12,600000000	35,000000000	33,400000000	32,700000000	33,600000000	15,382080000
4,440272000	2,300000000	91,440000000	-0,022000000	0,000000000	0,151000000	0,156000000	0,229200000	0,405099900	0,727043700	-10,288389000	-0,446940000	-0,360990000	0,159000000	91,461419000	0,999991653	-2864,000000000	0,999991653	-17218,000000000	-0,045318900	-0,032959200	33,675921800	15,014856000	14801,230000000	2,000000000	1,510807940	41,267373400	14,500000000	0,000000000	0,000000000	0,000000000	2,000000000	7,000000000	33,200000000	1712,000000000	93,600000000	23,500000000	765,000000000	765,000000000	766,000000000	765,500000000	0,000000000	-0,640000000	66,000000000	12,600000000	35,000000000	33,400000000	32,700000000	33,600000000	14,954800000
4,577600000	2,250000000	91,692000000	-0,174000000	0,000000000	-0,167000000	0,190000000	0,206280000	0,401285400	0,722466300	-10,288389000	-0,590190000	-0,452670000	-0,047000000	91,440055000	0,999991653	-2864,000000000	0,999991653	-17218,000000000	-0,195008600	-0,182648900	33,675921800	15,014856000	14801,230000000	2,000000000	1,510807940	41,267373400	15,000000000	0,000000000	0,000000000	0,000000000	2,100000000	7,000000000	33,200000000	1713,000000000	93,600000000	23,500000000	765,000000000	765,000000000	766,000000000	765,500000000	0,000000000	-0,640000000	66,000000000	12,600000000	35,000000000	33,400000000	32,700000000	33,600000000	14,527520000
4,737816000	2,270000000	91,512000000	-0,236000000	0,000000000	-0,124000000	-0,231000000	0,727710000	0,396708000	0,720940500	-10,282896000	-0,498510000	0,097410000	-0,038000000	91,477442000	0,999991653	-2864,000000000	0,999991653	-17218,000000000	-0,310365800	-0,269166800	33,675921800	16,876454000	14801,230000000	2,000000000	1,510807940	41,267373400	14,500000000	0,000000000	0,000000000	0,000000000	2,300000000	7,000000000	33,200000000	1713,000000000	93,600000000	23,500000000	764,500000000	765,000000000	766,500000000	766,500000000	-0,080000000	-0,560000000	66,000000000	12,600000000	35,000000000	33,400000000	32,700000000	33,600000000	14,283360000
4,920920000	2,390000000	91,332000000	-0,170000000	0,000000000	0,426000000	0,292000000	0,452670000	0,393656400	0,720940500	-10,277403000	-0,097410000	0,000000000	-0,268000000	91,456078000	0,999991653	-2864,000000000	0,999991653	-17218,000000000	-0,216981400	-0,190888700	33,675921800	18,738052000	14801,230000000	2,000000000	1,510807940	41,267373400	14,500000000	0,000000000	0,000000000	0,000000000	2,400000000	7,000000000	33,200000000	1711,000000000	93,600000000	23,500000000	764,500000000	765,000000000	766,500000000	766,500000000	-0,080000000	-0,560000000	66,000000000	12,600000000	35,000000000	33,400000000	32,700000000	33,600000000	14,832720000
5,081136000	2,430000000	91,548000000	-0,300000000	0,000000000	0,126000000	0,365000000	0,326610000	0,392893500	0,720940500	-10,277403000	0,040110000	-0,040110000	0,059000000	91,488124000	0,999991653	-2864,000000000	0,999991653	-17218,000000000	-0,333711900	-0,314485700	33,675921800	16,845936000	14801,230000000	2,000000000	1,510807940	41,267373400	15,500000000	0,000000000	0,000000000	0,000000000	2,600000000	7,000000000	33,200000000	1711,000000000	93,600000000	23,500000000	764,000000000	765,000000000	765,500000000	765,500000000	0,000000000	-0,480000000	66,000000000	12,600000000	35,000000000	33,400000000	32,700000000	33,600000000	15,870400000
